Partner,BPA,Oracle_Supplier_Name,Supplier_Site,Source
SOLITON,516314,SOLITON TELMEC LTD,NAIROBI,Agreement 516314
QUAVATEL,516313,QUAVATEL LIMITED,6th Floor Somak,Agreement 516313
Kinde,516306,KINDE ENGINEERING WORKS LIMITED,ROLLOUT,Agreement 516306
Camusat,514807,CAMUSAT KENYA LIMITED,NAIROBI,Agreement 514807
Egypro,516301,EGYPRO EAST AFRICA LTD,ROLL OUT,Agreement 516301
Extra D,522921,EXTRA DIMENSIONS COMPANY LIMITED,NAIROBI,Agreement 522921
Tetranet,516311,TETRANET SERVICES LIMITED,NAIROBI,Agreement 516311
Adrian,516300,ADRIAN KENYA LIMITED,NAIROBI,Agreement 516300
Pavicon,516303,PAVICON (K) LIMITED,PAVICON KENYA L,Agreement 516303
Hatikvah,516305,HATIKVAH COMMUNICATIONS & GENERAL ENGINEERING LIMITED,Hatikvah commun,Agreement 516305
Optimax,516302,OPTIMAX GROUP LIMITED,Optimax Group L,Agreement 516302
Techminds,516315,TECHMINDS TECHNOLOGIES,Mirage Towers,Agreement 516315
Powergen,516312,POWERGEN TECHNOLOGIES LTD,NAIROBI,Agreement 516312
Fireside,516304,FIRESIDE COMMUNICATIONS LIMITED,NAIROBI,Agreement 516304
Huawei,520027,HUAWEI TECHNOLOGIES(KENYA) CO. LTD,ROLL OUT,Agreement 520027
ACL,516294,ALTERNATIVE COMMUNICATIONS LIMITED,ROLLOUT,Agreement 516294
